Subject_id_dead,Subject_id_alive
124,79
188,
377,138
408,145
634,154
638,177
710,184
719,
743,208
773,214
834,222
871,271
906,279
1004,283
1006,298
1049,301
1075,308
1092,317
1182,318
1224,328
1331,333
1521,357
1569,379
1578,402
1744,406
1785,409
1795,416
1855,422
1885,439
1892,462
1944,507
1979,515
1995,521
2014,523
2148,543
2172,549
2228,565
2332,571
2343,586
2362,608
2586,625
2755,631
2773,
2906,
2921,639
2990,652
3133,668
3242,670
3245,672
3267,682
3287,695
3301,708
3302,735
3340,749
3474,770
3506,772
3513,
3593,776
3619,784
3764,787
3794,793
3798,801
3866,818
3932,849
4252,865
4324,870
4331,878
4351,886
4405,894
4406,895
4465,925
4568,946
4587,952
4655,963
4778,992
4833,
4894,
5056,1012
5107,1021
5171,1028
5205,1030
5239,1033
5254,1038
5282,1044
5289,1046
5382,1104
5494,1123
5506,1135
5525,1143
5642,1144
5701,1158
5738,1174
5786,1190
5818,1192
5909,1207
5937,1217
6010,1222
6017,1226
6042,1241
6206,1244
6464,1257
6533,1279
6535,
6539,1337
6637,1338
6702,1357
6718,1396
6800,1398
6914,1408
6933,1409
7234,1430
7381,1438
7452,1449
7519,1453
7532,1457
7650,1501
7666,1502
7683,1524
7695,1526
7728,1531
7786,1546
7860,1551
7894,1563
7977,
7985,
8061,1586
8099,1604
8141,1606
8258,1679
8406,1747
8426,1754
8451,1758
8466,1761
8516,1763
8569,1778
8674,1791
8698,1818
8718,1840
8822,
8915,1888
8947,1898
8996,1900
9105,1908
9130,1931
9139,1932
9278,1941
9289,
9389,1949
9526,1950
9575,1978
9642,1991
9648,
9998,2029
61,2034
305,2049
391,2066
433,2067
679,2075
766,2092
1342,2200
1752,2213
1787,2224
2115,2229
2482,2237
2788,2240
2831,2251
2878,2264
3013,2274
3049,2280
3110,2317
3181,
3361,2374
3437,2395
3649,2397
3705,2403
3818,2466
3852,2477
3868,2488
4034,2492
4070,2502
4245,2513
4780,2514
4793,2530
4828,2549
4884,
4914,2589
5046,2610
5557,2619
5749,2653
6112,2664
6129,2686
6172,2700
6258,2703
6492,2742
6639,2744
6873,2747
6874,2754
7097,2791
7260,2798
7401,2827
7539,2830
7696,2834
7712,2917
7847,
7948,2946
8685,2968
8815,2974
8892,2981
8952,
9169,3024
9296,3052
9412,3057
9465,3129
9493,
9936,3158
101,3165
268,3174
450,3176
